npsn,nama_sekolah,alamat,jumlah_guru,kepala_sekolah,telp_sekolah,latitude,longitude
69880811,TK AL FITRI,Jl. Kebagusan Raya No. 14,5,"Eko Wahyuni, S.Pd",021 78885925,,
69889130,TK PEMULIHAN   6 BETHANY,Jl. Sunter Kirana Iv Blok P1 No 4,8,Rawaty. Silitonga,021 6520112,,
69889465,TK KREATIF PRIMAGAMA,Jl. M. Kahfi II No. 31,5,Fitria Rahma,021 7872897,,
69889468,BKB PAUD AMEROH,Jl. Pondok Pinang 2 No. 33,,,,,
69892528,TK PONDOK INDAH GLOBAL SCHOOL,"Jl. Duta Indah, Pondok Indah",5,"SRI WIDAYATI,S.Pd.",021 7654382,,
69892605,TK JAKARTA ISLAMIC SCHOOL,Jl. Rudal V Blok O1 No.05,2,"DWI KOMALASARI,S.Pd",021 5845237,,
69892661,TK MAHATMA GANDHI,JL. TABING BLOK B 16 NO.3,6,Julie Darwo Rustam,021 6542241,,
69895634,PAUD SINGAPORE SCHOOL BONA VISTA,"Jl. Bona Vista Raya, Lebak Bulus, Jakarta Selatan",,,021 75914414,,
69899693,JAKARTA MONTESSORI SCHOOL,Jalan Durian No. 10,,,,,
69902606,TK CERDAS CERIA,Jl. Penyelesaian Tomang I/22 Kav. DKI Blok 117,4,"Samudra Sukardi, MMIS, MSIS",021 5853972,,
69903208,PAUD JAC KELAPA GADING,Jl. Pegangsaan dua No. 75A,,,,,
69903435,TK AHBABUR RAHMAN,"Jl. Kebon Bar, Belimbing Terusan No. 6",1,SULARNI,,,
69903477,TK JAC SHERWOOD,"Apt. Sherwood, Jl. Kelapa nias blok GN",1,a,,,
69903483,PAUD JAC SHERWOOD,"Apt. Sherwood, Jl. Kelapa nias blok GN",,,,,
69904572,TK KENANGA,Jl. Kebon Baru GG.II Blok R No. 29,,,,,
69908074,TK RAFA,Jl. Pemancingan 1 no.30B,4,"Ponirah,S.Pd",021 58902632,,
69910360,TK FAJAR INDAH,Jl. Waspada Raya I. No. 30,5,Handy Sulistyo,021 64714183,,
69917439,TK SATU ATAP GEDONG 04 PAGI,Jl. Raya Condet,3,Titin Sukayati,021 8414345,-6.293248,106.852295
69920820,TK SATU ATAP CIKINI 01 PG,Jl. Cidurian No. 2A,,,021 2306143,,
69923299,TK RAFFLES CHRISTIAN SCHOOL,Jl. pesanggrahan Raya,,,021 5845671,,
69923552,TK ISLAM PERMATA KIDS,Kav. PTB Blok F VII No. 8,5,Hartati Sri Lestari,0819 08055129,,
69932359,BKB PAUD AZ ZAHRA,Jl. Pondok Pinang VII No.1,,,,,
69933349,TK BINTANG KECIL,PTB Duren Sawit No. 1,3,ANDRIANI MERCUASTUTI,021 8601337,,
69934539,TK BINA TUNAS BANGSA,Jalan Pluit Timur Blok MM,7,Meliana,021 30031300,-6.119333,106.793915
69935310,TK ISLAM AN NASH,JL. PEPAYA NO. 1,9,ADISTI REINDINAR,021 7970475,-6.277163,106.840202
69937579,TKIT AL AZHAR JAGAKARSA,JL. Jagakarsa Raya No. 16,6,SALAMUN,021 78886991,-6.326652,106.820480
69938152,TK RAFFLES CHRISTIAN SCHOOL,Jl Gading Pelangi I,1,"Prinastining Dyah Wigati, S.Pd",021 45874222,,
69938945,TK GUANG MING,Jln Tanjung duren Utara IV No 232,4,"Memi, S.Psi",021 5673637,,
69939385,TK REGENCY,Jl. JATINEGARA TIMUR II/11,3,CHATARINA SUYATI S.Pd,021 8515859,,
69939385,TK KRISTEN REGENCY CIPINANG,Jl. Cipinang Elok II Blok AV No 17,8,Sani S.Pdi,021 8515859,,
